GEO (Labels),0-14,15-24,25-49,50-64,65-79,80+
Belgium,16.9 ,11.4 ,32.6 ,20.1 ,13.4 ,5.7 
Bulgaria,14.4 ,8.8 ,34.6 ,20.5 ,16.8 ,4.9 
Czechia,16.0 ,9.0 ,36.5 ,18.6 ,15.8 ,4.1 
Denmark,16.4 ,12.5 ,31.7 ,19.7 ,15.2 ,4.7 
Germany,13.7 ,10.3 ,31.3 ,23.0 ,14.9 ,6.8 
Estonia,16.5 ,9.5 ,34.7 ,19.4 ,14.2 ,5.8 
Ireland,20.3 ,12.7 ,35.2 ,17.4 ,11.0 ,3.4 
Greece,14.3 ,10.3 ,32.6 ,20.5 ,15.0 ,7.2 
Spain,14.5 ,10.0 ,34.8 ,21.0 ,13.6 ,6.0 
France,17.9 ,11.8 ,30.7 ,19.2 ,14.3 ,6.2 
Croatia,14.3 ,10.8 ,32.5 ,21.4 ,15.6 ,5.5 
Italy,13.0 ,9.8 ,31.7 ,22.3 ,15.8 ,7.4 
Cyprus,16.0 ,12.7 ,37.2 ,17.7 ,12.5 ,3.8 
Latvia,16.0 ,9.1 ,33.5 ,20.9 ,14.7 ,5.8 
Lithuania,15.1 ,10.2 ,32.7 ,22.0 ,14.0 ,5.9 
Luxembourg,16.0 ,11.5 ,38.2 ,19.8 ,10.5 ,4.0 
Hungary,14.5 ,10.5 ,35.7 ,19.3 ,15.4 ,4.5 
Malta,13.4 ,10.7 ,39.9 ,17.5 ,14.3 ,4.2 
Netherlands,15.7 ,12.3 ,31.6 ,21.0 ,14.8 ,4.7 
Austria,14.4 ,10.7 ,33.8 ,22.0 ,13.7 ,5.3 
Poland,15.4 ,10.0 ,37.0 ,19.3 ,13.8 ,4.4 
Portugal,13.6 ,10.6 ,32.6 ,21.0 ,15.6 ,6.6 
Romania,15.7 ,10.5 ,35.0 ,19.9 ,14.1 ,4.8 
Slovenia,15.1 ,9.4 ,33.9 ,21.4 ,14.8 ,5.4 
Slovakia,15.8 ,10.2 ,37.9 ,19.5 ,13.2 ,3.4 
Finland,15.8 ,11.1 ,31.3 ,19.6 ,16.6 ,5.7 
Sweden,17.8 ,11.2 ,33.0 ,18.1 ,14.8 ,5.2 
Iceland,18.7 ,13.2 ,36.0 ,17.7 ,10.9 ,3.5 
Liechtenstein,14.7 ,10.8 ,32.9 ,23.3 ,14.3 ,3.9 
Norway,17.3 ,12.3 ,34.0 ,18.8 ,13.2 ,4.3 
Switzerland,15.0 ,10.5 ,34.8 ,21.0 ,13.4 ,5.3 
United Kingdom,17.9 ,11.8 ,32.8 ,19.1 ,13.4 ,5.0 
Montenegro,17.9 ,12.8 ,34.1 ,19.6 ,12.2 ,3.4 
North Macedonia,16.2 ,12.0 ,37.5 ,19.8 ,11.9 ,2.6 
Albania,16.8 ,14.9 ,33.2 ,20.3 ,11.9 ,2.9 
Serbia,14.3 ,10.4 ,33.7 ,20.6 ,16.3 ,4.7 
Turkey,23.1 ,15.6 ,37.1 ,15.2 ,7.3 ,1.8 
Andorra,13.9 ,10.6 ,39.4 ,22.5 ,10.2 ,3.4 
Belarus,16.9 ,9.9 ,36.6 ,21.3 ,11.3 ,3.9 
Bosnia and Herzegovina,14.7 ,11.8 ,33.7 ,22.9 ,14.3 ,3.8 
Kosovo,24.4 ,17.8 ,35.2 ,14.1 ,6.8 ,1.8 
Moldova,16.0 ,14.5 ,39.1 ,19.9 ,8.9 ,2.3 
Monaco,,,,,,
Russia,16.3 ,11.8 ,37.4 ,21.4 ,10.1 ,3.0 
San Marino,14.2 ,8.9 ,38.1 ,20.0 ,12.5 ,5.3 
Ukraine,15.4 ,9.6 ,37.6 ,20.6 ,12.5 ,4.3 
Armenia,20.2 ,11.8 ,36.9 ,19.1 ,9.0 ,3.0 
Azerbaijan,22.4 ,14.1 ,39.1 ,17.6 ,5.3 ,1.5 
Georgia,20.3 ,11.5 ,33.9 ,19.5 ,11.4 ,3.5 
