GEO (Labels),Persons per square kilometre
Belgium,377.3 
Bulgaria,63.4 
Czechia,138.2 
Denmark,138.5 
Germany,235.2 
Estonia,30.5 
Ireland,71.9 
Greece,82.4 
Spain,93.8 
France,106.1 
Croatia,72.8 
Italy,201.5 
Cyprus,95.7 
Latvia,30.2 
Lithuania,44.6 
Luxembourg,239.8 
Hungary,107.1 
Malta,1595.1 
Netherlands,507.3 
Austria,107.6 
Poland,123.6 
Portugal,113.0 
Romania,82.7 
Slovenia,103.7 
Slovakia,112.0 
Finland,18.2 
Sweden,25.2 
Iceland,3.6 
Liechtenstein,244.1 
Norway,17.3 
Switzerland,215.1 
United Kingdom,273.8 
Montenegro,45.7 
North Macedonia,83.4 
Albania,99.1 
Serbia,90.5 
Turkey,107.7 
Andorra,55.0 
Belarus,46.0 
Bosnia and Herzegovina,68.9 
Kosovo,159.0 
Moldova,105.0 
Monaco,18469.3 
Russia,9.0 
San Marino,520.0 
Ukraine,76.0 
Armenia,101.0 
Azerbaijan,105.8 
Georgia,71.0 
