country,population
Belgium,11522440
Bulgaria,6951482
Czechia,10693939
Denmark,5822763
Germany,83166711
Estonia,1328976
Ireland,4964440
Greece,10718565
Spain,47332614
France,67320216
Croatia,4058165
Italy,59641488
Cyprus,888005
Latvia,1907675
Lithuania,2794090
Luxembourg,626108
Hungary,9769526
Malta,514564
Netherlands,17407585
Austria,8901064
Poland,37958138
Portugal,10295909
Romania,19328838
Slovenia,2095861
Slovakia,5457873
Finland,5525292
Sweden,10327589
Iceland,364134
Liechtenstein,38747
Norway,5367580
Switzerland,8606033
United Kingdom,67025542
Montenegro,621873
North Macedonia,2076255
Albania,2845955
Serbia,6926705
Turkey,83154997
Andorra,77543
Belarus,9408350
Bosnia and Herzegovina,3492018
Kosovo,1795666
Moldova,3547539
Monaco,38300
Russia,146801931
San Marino,34735
Ukraine,41732779
Armenia,2959694
Azerbaijan,10067108
Georgia,3716858
