,country,Country Code,2019 [YR2019]
0,Albania,ALB,14450
1,Andorra,AND,..
2,Armenia,ARM,14500
3,Austria,AUT,60720
4,Azerbaijan,AZE,14400
5,Belarus,BLR,19400
6,Belgium,BEL,57050
7,Bosnia and Herzegovina,BIH,16280
8,Bulgaria,BGR,24900
9,Croatia,HRV,30660
10,Cyprus,CYP,39830
11,Denmark,DNK,63920
12,Estonia,EST,39080
13,Finland,FIN,53430
14,France,FRA,52050
15,Georgia,GEO,15260
16,Germany,DEU,59090
17,Greece,GRC,31540
18,Hungary,HUN,34020
19,Iceland,ISL,61240
20,Ireland,IRL,71150
21,Italy,ITA,46110
22,Kosovo,XKX,12140
23,Latvia,LVA,32550
24,Liechtenstein,LIE,..
25,Lithuania,LTU,38630
26,Luxembourg,LUX,79670
27,Malta,MLT,43970
28,Moldova,MDA,14330
29,Monaco,MCO,..
30,Montenegro,MNE,24120
31,Netherlands,NLD,61520
32,North Macedonia,MKD,17270
33,Norway,NOR,72920
34,Poland,POL,33770
35,Portugal,PRT,37040
36,Romania,ROU,32860
37,San Marino,SMR,..
38,Serbia,SRB,18440
39,Slovenia,SVN,41750
40,Spain,ESP,43560
41,Sweden,SWE,58060
42,Switzerland,CHE,73800
43,Turkey,TUR,27660
44,Ukraine,UKR,13750
45,United Kingdom,GBR,49040
46,Russia,RUS,28270
47,Czechia,CZE,41570
48,Slovakia,SVK,41750
